blemishID,lensZoneID,lensZonePass,lensDefectSpecLimit_um_lower,lensDefectSpecLimit_um_upper,displayZoneID,dispZonePass,dispDefectSpecLimit_um_lower,dispDefectSpecLimit_um_upper,cleanable,dispZoneAngle_deg,dispZoneRadius_pix,camCentroid_pix_X,camCentroid_pix_Y,dispCoords_pix_X,dispCoords_pix_Y,dispCoords_mm_X,dispCoords_mm_Y,contrastInCameraImage,surfaceIndex,surfaceName,surfCoords_mm_X,surfCoords_mm_Y,Aquila_surfCoords_um_X,Aquila_surfCoords_um_Y,Aquila_distance_um,Aquila_angle_deg,defect_Z_global_mm,defectSurfDiameter_um,defectSurfMajorAxisLength_um,defectSurfMinorAxisLength_um,defectSurfArea_um2,rawImgDownSamp
8,nan,1,-1.0,-1.0,3,1,0.0,20.0,1,176.15,1606.10,830.67,1450.83,446.94,1674.99,-10.32,0.78,-0.25,24,Display Stack,-10.48,0.76,-12877.63,-755.63,12899.78,-176.64,-0.43,8.14,8.14,8.14,52.04,2
1,3D,1,0.0,340.0,3,1,0.0,20.0,1,178.59,2151.54,623.86,1346.43,257.68,1543.98,-11.74,-0.21,-0.10,22,L1S1 Refractive (L1 Front),-14.70,0.34,-16498.54,-341.39,16502.08,-178.81,3.42,21.47,21.47,21.47,362.10,2
18,3C,1,0.0,130.0,3,1,0.0,20.0,1,152.48,1678.05,1054.57,1874.71,696.14,2217.97,-8.46,4.85,-0.29,22,L1S1 Refractive (L1 Front),-9.61,5.83,-11414.82,-5834.32,12819.41,-152.93,1.93,25.59,25.59,25.59,514.50,2
20,2,1,0.0,40.0,3,1,0.0,20.0,1,-179.78,1484.84,1075.40,1292.00,696.08,1475.71,-8.46,-0.72,-0.21,22,L1S1 Refractive (L1 Front),-9.57,-0.11,-11371.67,106.82,11372.17,179.46,1.38,23.14,23.14,23.14,420.72,2
28,2,1,0.0,40.0,3,1,0.0,20.0,1,-159.21,1450.53,1175.25,920.75,833.73,992.27,-7.42,-4.34,-0.20,22,L1S1 Refractive (L1 Front),-8.59,-3.97,-10390.86,3971.29,11123.90,159.08,1.35,23.48,23.48,23.48,432.97,2
31,3C,1,0.0,130.0,3,1,0.0,20.0,1,135.32,1800.00,1202.00,2238.00,903.73,2659.31,-6.90,8.16,-0.18,22,L1S1 Refractive (L1 Front),-8.04,9.57,-9838.42,-9571.54,13726.21,-135.79,2.42,17.01,17.01,17.01,227.22,2
38,2,1,0.0,40.0,3,1,0.0,20.0,1,161.16,1294.25,1273.00,1599.00,928.93,1887.44,-6.71,2.37,-0.32,22,L1S1 Refractive (L1 Front),-7.58,3.10,-9379.07,-3104.90,9879.65,-161.68,1.00,26.34,26.34,26.34,545.11,2
39,2,1,0.0,40.0,2,1,0.0,15.0,1,165.08,1266.91,1275.47,1531.47,931.12,1797.80,-6.69,1.70,-0.40,22,L1S1 Refractive (L1 Front),-7.57,2.41,-9370.68,-2407.95,9675.12,-165.59,0.94,31.70,31.70,31.70,789.39,2
50,3C,1,0.0,130.0,3,1,0.0,20.0,1,-132.81,1636.08,1351.67,428.71,1108.45,399.04,-5.36,-8.79,-0.49,22,L1S1 Refractive (L1 Front),-6.75,-9.19,-8548.91,9190.38,12551.77,132.93,1.99,34.54,34.54,34.54,936.76,2
51,2,1,0.0,40.0,3,1,0.0,20.0,1,-133.79,1573.18,1369.19,473.19,1121.23,443.67,-5.27,-8.46,-0.41,22,L1S1 Refractive (L1 Front),-6.57,-8.69,-8369.07,8694.55,12068.00,133.91,1.81,31.34,31.34,31.34,771.43,2
61,2,1,0.0,40.0,2,1,0.0,15.0,1,170.01,1034.00,1430.43,1419.00,1131.82,1651.04,-5.19,0.60,-0.15,22,L1S1 Refractive (L1 Front),-5.99,1.29,-7789.25,-1292.45,7895.75,-170.58,0.55,21.70,21.70,21.70,369.89,2
